,user,text,favorite_count,retweet_count,created_at
50,elonmusk,"@davidmweissman That is true for some, but for many it was simply because they had a buddy at Twitter or were a Mashable intern 10 years ago or they outright bought it",3056,198,2023-04-10 15:44:33+00:00
51,elonmusk,@cb_doge @JonErlichman We’re working on Burnt Hair. Has to be just right.,3157,207,2023-04-10 15:38:14+00:00
52,elonmusk,@davidmweissman What is the principle?,2774,116,2023-04-10 15:18:58+00:00
53,elonmusk,@JonErlichman Boring Company: Flamethrower (Not a),12397,514,2023-04-10 15:17:52+00:00
54,elonmusk,"@TeslaAIBot If that were actually true, “the rich” of 100 years ago would have all the money today, but they do not",83228,6213,2023-04-10 15:11:14+00:00
55,elonmusk,@UmarBzv Modern dentistry is underappreciated,34982,1505,2023-04-10 15:09:08+00:00
56,elonmusk,@davidmweissman What if we create a “Help-a-Celebrity” fund to pay the $7?,11768,625,2023-04-10 14:53:45+00:00
57,elonmusk,Impersonating others is wrong!,161672,14331,2023-04-10 14:32:30+00:00
58,elonmusk,@farzyness dke yeah u know me,3994,217,2023-04-10 14:30:38+00:00
59,elonmusk,"@ZubyMusic The underlying principle: if you don’t like reality, just ignore it!",5212,392,2023-04-10 14:23:33+00:00
60,elonmusk,@AiBreakfast A classic,17945,779,2023-04-10 13:38:14+00:00
61,elonmusk,Starship launch trending towards near the end of third week of April,70340,6319,2023-04-10 13:27:08+00:00
62,elonmusk,@teslaownersSV Some duct tape &amp; superglue will fix this right up!,47193,1917,2023-04-10 13:14:10+00:00
63,elonmusk,"@Mikeggibbs Extremists of any kind tend to lack a sense of humor, because they live in a state of outrage and dehumanize the other side",39124,3528,2023-04-10 13:04:11+00:00
64,elonmusk,@all_in_tok @DavidSacks Absolutely,12068,896,2023-04-10 04:51:40+00:00
65,elonmusk,@dogeofficialceo 😋,5718,287,2023-04-10 04:24:09+00:00
66,elonmusk,@ShellenbergerMD Good question. Who are the people responsible for this nightmare situation?,14862,1733,2023-04-10 04:13:36+00:00
67,elonmusk,They tried to muffle our titter 🤭,107431,5476,2023-04-10 04:05:12+00:00
68,elonmusk,"@TRHLofficial This is a controversial take, but I think it’s time we let women vote",28907,1183,2023-04-10 03:48:22+00:00
69,elonmusk,"@iamharaldur What does a dyslexic, agnostic amnesiac who believes in crypto do?

Lies up all night thinking about Doge.",18234,1500,2023-04-10 03:44:30+00:00
70,elonmusk,"Our landlord at SF HQ says we’re legally required to keep sign as Twitter &amp; cannot remove “w”, so we painted it background color. Problem solved! https://t.co/1iFjccTbUq",354290,23681,2023-04-10 03:23:01+00:00
71,elonmusk,@iamharaldur Great way to make friends lol,13747,584,2023-04-10 02:56:24+00:00
72,elonmusk,@teslaownersSV 🤣,5270,258,2023-04-10 02:29:19+00:00
73,elonmusk,"@dogeofficialceo Passing butter
https://t.co/BQodkxl2BZ",4915,381,2023-04-10 02:27:41+00:00
74,elonmusk,@TitterDaily @MikeIsaac Oh stop 🥰,2352,114,2023-04-10 02:24:06+00:00
75,elonmusk,"@davidasinclair If you want to know what actually matters, just get a life insurance quote. That cuts out the bs. 

If you think you’re smarter than them, start a life insurance company and put them out of business.",4233,280,2023-04-10 01:47:52+00:00
76,elonmusk,@davidasinclair lol,5740,240,2023-04-10 01:42:09+00:00
77,elonmusk,@JonkariP Epic 🤣,1304,79,2023-04-10 00:35:52+00:00
78,elonmusk,"@waitbutwhy The precision of our biological clock across trillions of cells is incredible. One never sees someone with an old left arm, but a young right arm.

Aging can obviously be fixed. The real question is whether it should be.",27160,2321,2023-04-10 00:20:58+00:00
79,elonmusk,"@davidmweissman @TitterDaily Too much corruption with how legacy checks were handed out in the past. 

As @TimSweeneyEpic said, accounts should grow or shrink their influence based on the quality of their posts, not because they were anointed by someone years ago at Twitter.",2563,262,2023-04-10 00:14:39+00:00
